log_file: logs/dtd_20_OpenGVLab_InternVL3-2B_20e_0509_230920.log
generated_at: Sun May 10 02:29:12 2026
main_metric: val-aux/GPQA-TTT/acc/mean@1
do_not_compare_with: val-ttrl/label_accuracy
reference_2_epoch_acc: 0.8996
collapse_floor: 0.80
collapse_drop_from_best: 0.05
final_val_step: 100
final_val_acc: 0.909000
best_val_step: 50
best_val_acc: 0.912000
drop_from_best: 0.003000
collapse_assessment: NO_OBVIOUS_COLLAPSE

metrics_by_logged_step
step	val-aux/GPQA-TTT/acc/mean@1	train/entropy	actor/kl_loss	response_length/mean	perf/cpu_memory_used_gb
1		0.670	0.004	4.125	76.954
2		0.812	0.005	3.172	77.007
3		0.703	0.009	3.250	76.965
4		0.818	0.237	3.766	76.827
5		0.612	0.003	2.359	76.865
6		0.584	0.249	2.172	78.073
7		0.736	0.830	3.562	78.052
8		0.406	0.050	2.578	77.899
9		0.700	1.053	3.172	77.925
10		0.598	0.982	3.359	77.813
11		0.558	0.154	2.938	77.994
12		0.659	0.395	2.531	78.100
13		0.401	1.613	3.062	77.981
14		0.666	0.637	2.859	77.942
15		0.480	0.424	2.688	77.876
16		0.345	0.387	2.516	78.208
17		0.317	0.550	2.812	78.012
18		0.249	1.284	2.438	78.007
19		0.174	0.490	2.406	77.941
20		0.155	3.378	2.078	77.893
21		0.127	1.764	2.109	77.827
22		0.166	0.713	2.062	77.814
23		0.098	3.323	2.219	77.571
24		0.179	1.497	2.203	77.559
25	0.911	0.106	0.493	2.203	77.557
26		0.108	1.788	2.156	79.036
27		0.121	0.493	2.453	79.097
28		0.106	1.761	2.109	79.007
29		0.061	0.579	2.125	78.947
30		0.238	0.326	2.344	79.040
31		0.156	1.869	2.828	78.436
32		0.115	1.753	2.062	78.464
33		0.144	0.662	2.281	78.437
34		0.208	2.160	3.375	78.429
35		0.074	0.491	2.188	78.352
36		0.161	0.966	3.844	78.517
37		0.101	2.130	2.094	78.545
38		0.128	3.156	2.359	78.487
39		0.143	2.127	2.312	78.511
40		0.163	0.559	2.500	78.275
41		0.156	1.712	2.859	78.151
42		0.151	0.641	3.109	78.100
43		0.152	1.244	3.016	78.084
44		0.169	1.533	2.547	78.407
45		0.140	1.819	2.766	77.875
46		0.299	1.833	2.906	78.214
47		0.142	0.817	4.359	78.202
48		0.290	1.530	3.031	78.200
49		0.242	0.448	3.141	78.274
50	0.912	0.281	0.354	4.109	78.308
51		0.302	1.176	4.422	79.350
52		0.349	0.568	3.766	79.213
53		0.446	0.165	3.875	79.170
54		0.352	0.579	4.188	79.051
55		0.226	0.354	4.734	79.006
56		0.318	0.106	4.891	78.466
57		0.429	0.647	4.391	78.538
58		0.454	0.242	3.719	78.555
59		0.377	0.079	4.578	78.566
60		0.359	0.854	4.172	78.468
61		0.406	0.118	3.953	78.550
62		0.434	0.954	4.156	78.554
63		0.425	0.190	4.219	78.535
64		0.424	0.036	4.188	78.410
65		0.432	0.269	4.531	78.330
66		0.438	0.654	4.375	78.458
67		0.482	0.199	4.188	78.313
68		0.446	0.205	3.906	78.224
69		0.394	0.045	4.203	78.171
70		0.324	0.083	4.766	78.150
71		0.454	0.041	4.141	78.550
72		0.378	0.976	4.672	78.333
73		0.401	0.082	4.094	78.174
74		0.410	0.403	4.094	78.196
75	0.909	0.414	0.385	4.500	78.189
76		0.337	0.178	4.719	78.798
77		0.411	0.124	4.500	78.877
78		0.430	0.260	4.375	78.752
79		0.403	0.026	4.125	78.849
80		0.428	0.179	3.938	78.665
81		0.374	0.067	4.625	77.984
82		0.414	0.099	4.344	78.072
83		0.372	0.980	4.297	78.333
84		0.389	0.594	4.562	78.008
85		0.441	0.020	3.906	77.979
86		0.381	0.828	4.484	78.612
87		0.309	0.312	4.844	78.573
88		0.404	0.028	4.016	78.567
89		0.419	0.020	4.516	78.509
90		0.466	0.231	4.094	78.466
91		0.375	0.077	4.703	78.431
92		0.390	0.810	4.391	78.681
93		0.373	0.132	4.188	78.472
94		0.419	0.572	4.500	78.428
95		0.423	0.344	4.188	78.548
96		0.420	0.417	4.094	78.583
97		0.457	0.073	4.281	78.598
98		0.360	0.115	4.484	78.657
99		0.335	0.901	4.594	78.445
100	0.909	0.389	0.100	4.594	78.389
